Tanggapan,SI,S_SI,I,S_I
"jika igracias eror harap segera ditangani dengan baik dan tanggap, kuota kelas harap disesuaikan dengan jumlah mahasiswanya supaya tidak terjadi kehabisan kelas yang dialami oleh mahasiswa beberapa waktu lalu",1,0,0,1
Sudah cukup baik,0,1,0,1
"Dari tampilan yang di berikan , sangat bagus tampilannya",1,1,0,1
Internet kampus lebih dipercepat lagi,0,1,1,0
sangat baik,0,1,0,1
akses internet sekitar kampus (wifi) mohon diperbbaiki dan ditingkatkan,0,1,1,0
good,0,1,0,1
sangat mendukung kemudahan proses belajar mengajar,0,1,0,1
-,0,0,0,0
-,0,0,0,0
sangat canggih,0,1,0,1
tidak ada,0,1,0,1
lebih ditingkatkan lagi pelayanan informasinya,1,0,0,1
lul,0,0,0,0
perbaik lagi,0,0,0,0
sistem informasi telkom sudah bagus dan rapih,1,1,0,1
They should be assisting the students into getting informations better and faster,1,0,0,1
ok,0,1,0,1
Menurut saya sudah cukup,0,1,0,1
kadang server down,1,0,0,1
"Bagus, Memuaskan",0,1,0,1
"Banyak sekali masalah yang sering terjadi di bagian ini, tolong di tingkatkan jika ingin menjadi world class university!!",0,0,0,0
baagus tingkatkan,0,0,0,0
cukup,0,1,0,1
Implementasi perlu dimaksimalkan,0,0,0,0
Mohon ditingkatkan,0,0,0,0
tingkatkan,0,0,0,0
info lebih baik lewat personal chat,1,0,0,1
-,0,0,0,0
Perlu ditambah sosialisas/penyebaran informasi mengenai layanan SISFO kepada mahasiswa sehingga  mahasiswa yang mengalami kendala tahu apa yang harus dilakukan ketika mengalami masalah pada penggunaan sistem informasi di kampus,1,0,0,1
-,0,0,0,0
"Please give the information faster because sometimes it already too late or even sometimes the information about the events that you gave to us already expired, too bad. and yeah, I think its better if you just use email (like you already done) than telling to some of my classmate, because sometimes they did not  even tell us or you can tell us directly in class or put in ""mading""? its really help us. Thank you",1,0,0,1
semoga lebih baik lagi,0,0,0,0
lebih detail lagi,0,0,0,0
terus menciptakan anak2 bangsa di bidang sistem informatika,1,1,0,1
sudah baik,0,1,0,1
baik,0,1,0,1
Layanannya ditingkatkan lagi apalagi untuk igracias,1,0,0,1
sarannya sudah cukup baik,0,1,0,1
respon pengeluhan mohon dipercepat,1,0,0,1
tidak mempunyai saran karna sudah baik dan cukup puas,0,1,0,1
bagus,0,1,0,1
"informasi lebih ditingkatkan lagi, terutama untuk media sosial harus lebih ditingkatkan lagi jika ada informasi yang diberikan oleh pihak telkom",1,0,0,1
"sanagt baik, mahasiswa dapat mengetahui berbagai informasi dengan adanya akun igracias",1,0,0,1
"layanan sistem informasi sudah sangat baik. jadi, untuk seterusnya semoga menjadi lebih baik lagi.",1,1,0,1
Sudah bagus juga,0,1,0,1
wifi tolong diperluas sampai ke kantin,0,1,1,0
puas,0,1,0,1
Perlu ditingkatkan lagi. Agar informasi tidak simpang siur,1,0,0,1
baik,0,1,0,1
mohon akses internet di percepat. karena kami sangat membutuhkan akses tersebut. khususnya di lingkungan asrama dan kampus,0,1,1,0
Saya kurang tau mengenai sisfo. Cepet merespon dan memperbaiki saja kalo igracias lagi down,1,0,0,1
sudah dapat melayani mahasiswa dengan baik,0,1,0,1
semoga layanan informasi bagi mahasiswa non asrama lebih cepat,1,0,0,1
kurangnya komunikasi yang baik antara mahasiswa dengan layanan sisfo,1,0,0,1
"sudah baik, lebih ditingkatkan lagi iuntuk layanan informasi",1,0,0,1
Website jurusan di update kalau bisa,1,0,0,1
baik,0,1,0,1
-,0,0,0,0
sudah baik untuk sejauh ini,0,1,0,1
tingkatkan lagi biar ga sering out of service,1,0,0,1
pertahankan!,0,1,0,1
Sudah bagus hanya saja masi banyak informasi yg mendadak,1,0,0,1
terlalu banyak gangguan di perbaikin lagi,0,0,0,0
lebih cepat menyampaikan informasi,1,0,0,1
good,0,1,0,1
lebih ditingkatkan,0,0,0,0
Cukup baik,0,1,0,1
sudah baik,0,1,0,1
Baik,0,1,0,1
server sering down,1,0,0,1
harus lebih ramah,1,0,0,1
tingkatkan kembali,0,0,0,0
good,0,1,0,1
,0,0,0,0
sistem informasi dapat menyediakan informasi lebih baik dan update,1,0,0,1
Informasi masih kurang baik untuk sampai ke mahasiswa,1,0,0,1
baik,0,1,0,1
Baik,0,1,0,1
semoga lebih baik lagi,0,1,0,1
angger weh down wae ieu ingracias,1,0,0,1
sudah cukup baik,0,1,0,1
best,0,1,0,1
lebih ditingkatkan lagi,0,0,0,0
Di masa-masa tertentu sistem informasi harus bisa melayani dengan handal,1,0,0,1
layanan sistem inforamasi universitas telkom udah sangat baik,1,1,0,1
lebih ditingkatkan lagi dalam proses implementasi layanan tel-u di bidang layanan sistem informasi,1,0,0,1
"sudah bagus, hanya saja sering down pada saat-saat tertentu",1,0,0,1
Sistem Informasinya sudah baik,0,1,0,1
semoga semakin cepat responnya,1,0,0,1
lebih diperbaiki lagi implementasi layanan dalam bidang sistem informasi,1,0,0,1
baik,0,1,0,1
lebih cepat dalam melayani masalah,1,0,0,1
kurang tersosialisasi,1,0,0,1
sudah baik,0,1,0,1
Permudah system agar Mahasiswa/Dosen/Pengurus tidak kerepotan dan terjadi lempar sana sini,1,0,0,1
,0,0,0,0
kurang begitu efektif sehingga banyak berita impang siur,1,0,0,1
good,0,1,0,1
Diperbaiki,0,0,0,0
good,0,1,0,1
cukup,0,1,0,1
Lebih memberikan layanan yang lengkap,0,0,0,0
"Baik, informasi bisa langsung diketahui di i-Gracias atau pun medsos walaupun kadang suka pending",1,0,0,1
"Pelayanan kurang baik dan kurang ramah, serta tidak fast respon.",1,0,0,1
"dalam layanan sistem informasi ini, informasi yang diterima sering telat sampai dikarenakan mungkin hanya melalui satu sumber iGracias",1,0,0,1
pelayanan helpdesk kurang ramah,1,0,0,1
-,0,0,0,0
sudah puas,0,1,0,1
.,0,0,0,0
Tidak ada,0,1,0,1
bagus,0,1,0,1
good,0,1,0,1
cukup baik tapi perlu ditingkatkan,0,1,0,1
none,0,1,0,1
makin baik kedepannya,0,0,0,0
layanan untuk internet dan informasi i gracias sudah cukup baik..,1,1,1,1
sudah cukup baik,0,1,0,1
"untuk sistem informasi sudah lumayan memuaskan , lebih di tingkatkan kembali akses internet nyah",1,1,1,0
sudah bagus,0,1,0,1
ya,0,1,0,1
"lebih ditingkatkan lagi pelayanannya, BAGUS",1,1,0,1
Lebih baik lagi,0,0,0,0
kurang jelas,0,0,0,0
Perbaikan RFID yang rusak,1,0,0,1
"wifi telkom di percepat , hindari penggunaan internet net cut",0,1,1,0
-,0,0,0,0
-,0,0,0,0
Perbaharui dan perbaiki,0,0,0,0
Semoga lebih baik,0,0,0,0
"layanan sistem informasi bagus , semoga tingkat pelayanannya lebih ditingkatkan",1,0,0,1
"tidak ada saran yang spesifik, semuanya terasa sudah angat baik",0,1,0,1
lebih di percepat lagi responnya kalau ada keluhan dari mahasiswanya,1,0,0,1
Perlu ditingkatkan nya akses TUNE sehingga diperlukannya wifi router di setiap kelasnya.,0,1,0,1
sudah bagus,0,1,0,1
-,0,0,0,0
sudah baik,0,1,0,1
Ditingkatkan kecepatan akses tune dan ketersediaan akses internet di tiap gedungnya,1,0,1,0
Layanan sistem informasi sudah cukup bagus,1,1,0,1
Periksa akun SSO mahasiswa secara rutin agar tidak ada masalah pada saat login,1,0,0,1
baik,0,1,0,1
Bagus,0,1,0,1
hehehe,0,0,0,0
"Untuk iGracias, terkadang tidak bisa diakses, mohon diperbaiki",1,0,0,1
Kurang baik dalam layanan sistem informasinya,0,0,0,0
ditingkatkan,0,0,0,0
informasinya cepat jika sering update igracias,1,1,0,1
dalam sistem informasi sebaiknya lebih ditingkatkan lagi,1,0,0,1
sudah cukup bagus tapi untuk pengajuan sk prosesnya terlalu lama,1,0,0,1
"menurut saya layanan sudah cukup baik, pertahankan",0,1,0,1
cukup,0,1,0,1
-,0,0,0,0
igracias kalau bisa di sediakan di play store dan app store,1,0,0,1
,0,0,0,0
"Pembaruan website dan layanan harus sesuai dengan perkembangan teknologi,contohnya seperti sekarang shearusnya sudah ada aplikasih/software igracias untuk smartphone,meskipun sudah tersedia namun belum bisa sepenuhnya digunakan bahkan tidak bisa sama sekali digunakan di beberapa smartphone.",1,0,0,1
saran saya bisa lebih baik lagi layanannya,0,0,0,0
---,0,0,0,0
sangat up to date tapi harus lebih di perjelas lagi,0,1,0,1
:),0,0,0,0
layanan sudah oke tetapi kadang-kadang terdapat informasi yang kurang tersebar dan jelas alurnya,1,0,0,1
,0,0,0,0
tidak ada,0,1,0,1
baik,0,1,0,1
di gedung GKU3 sulit untuk mendapatkan layanan tune,1,0,1,0
-,0,0,0,0
sudah cukup baik,0,1,0,1
baik,0,1,0,1
Info yg diberikan sering mendadak,1,0,0,1
sudah bagus,0,1,0,1
Lebih ditingkatkan,0,0,0,0
Sudah baik,0,1,0,1
Diharapkan bisa diakses diseluruh kawasan kampus,0,0,0,0
mantab,0,1,0,1
Semoga lebih baik lagi setiap tahunnya,0,0,0,0
Complicated,0,0,0,0
good,0,1,0,1
-,0,0,0,0
Bagus,0,1,0,1
tingkatkan,0,0,0,0
wow,0,1,0,1
sudah cukup baik,0,1,0,1
semoga sistem informasinya lebih cepat menyampaikan informasi,1,0,0,1
cukup baik,0,1,0,1
.,0,0,0,0
Semoga kedepannya dapat lebih baik dari sebelumnya,0,0,0,0
Cukup baik,0,1,0,1
Kurang ramah terhadap mahasiswa,1,0,0,1
Lebih ditingkatkan lagi sistemnya lebih baik lagi,0,0,0,0
oke,0,1,0,1
Baik,0,1,0,1
"Baik, lebih dikembangkan saja",0,1,0,1
,0,0,0,0
,0,0,0,0
tidak tahu menahu,0,0,0,0
lebih ditingkatkan,0,0,0,0
interface perlu diupdate,1,0,0,1
Lebih ditingkatkan dari segi apapun di layanan SI,1,0,0,0
oke,0,1,0,1
,0,0,0,0
puasss sekali,0,1,0,1
cukup,0,1,0,1
Cukup,0,1,0,1
mantap,0,1,0,1
"Jaringannya gampang di bobol, akun tune balikin multyaccount dong",1,0,1,0
layanan igracias sering error,1,0,0,1
mungkin bisa disosialisasikan dengan lebih terbuka di kampus,0,0,0,0
tidak ada saran,0,1,0,1
sudah lumayan bagus,0,1,0,1
Lebih baik,0,0,0,0
Bagus,0,1,0,1
baik,0,1,0,1
sudah sangat memuaskan,0,1,0,1
"Mengapa jarang melakukan sosialisasi, info yg ada selalu terkesan mendadak",1,0,0,1
-,0,0,0,0
lebih ditingkat kembali demi kenyamanan mahasiswa,0,0,0,0
Tingkat kan agar lebih baik,0,0,0,0
tidak ada saran,0,1,0,1
cukup baik,0,1,0,1
-,0,0,0,0
semoga bisa lebih ditingkatkan.,0,0,0,0
sudah bagus,0,1,0,1
ok,0,1,0,1
"sudah baik, tingkatkan",0,1,0,1
puas,0,1,0,1
sudah baik tingkatkan lagi,0,1,0,1
nice,0,1,0,1
ditingkatkan dr segi keamanannya,1,0,0,1
puas,0,1,0,1
.,0,0,0,0
lebih diperbaharui,0,0,0,0
lebih ditingkatkan lagi,0,0,0,0
kurang baiknya server igracias ketikainput jadwal awal perkuliahan,1,0,0,1
penggunaan sosial media di maksimalkan,1,0,0,1
"informasi terkadang suka tidak baik, maksudnya, ada orang yang lupa kasih info",1,0,0,1
Berguna untuk mahasiswa dalam update informasi,1,1,0,1
"Untuk program MM PJJ mohon agar dipermudah urusan informasi akademik, karena mahaiswa mayoritas dari luar kota",1,0,0,1
Trafik nya di benerin,0,0,0,0
Lebih baik lgi,0,0,0,0
RFID diperbaiki,1,0,0,1
bagus,0,1,0,1
lebih di tingkatkan,0,0,0,0
"Update igracias, karena masih banyak mahasiswa yang kebingungan mengenai tab-tab yang ada dalam igracias",1,0,0,1
"Sangat Baik, tetapi tolong untuk TUNE nya lebih dipermudah dalam mengkasesnya",1,0,0,1
layanan informasi juga sudah bagus,1,1,0,1
"sudah baik, namun dari segi wifi sangat buruk",0,1,1,0
"Sangat tidak baik, sebaiknya diperkencang internetnya. Dan masih banyak UKM yang belum dapet internet",0,1,1,0
B,0,0,0,0
tune lambat,1,0,0,0
TIngkatkan,0,0,0,0
tidak apa apa,0,1,0,1
Bagus,0,1,0,1
-,0,0,0,0
sangat baik,0,1,0,1
sudah bagus,0,1,0,1
Tidak banyak troubleshoot,0,0,0,0
lebih baik lagi,0,0,0,0
Semoga lebih baik,0,0,0,0
sebaiknya layanan sistem informasi lebih ditingkatkan lagi kinerjanya,1,0,0,1
"sistem informasi semakin diperbaiki dan diperkuat, apalagi ketika byk user yg akses, jgn sampe down",1,0,0,1
Top,0,1,0,1
"baik, tingkatkan lagi",0,1,0,1
dalam layanan informasi sudah cukup baik namun masih perlu di perbaiki,1,1,0,1
.,0,0,0,0
memperbaiki kualitas wifi,0,1,1,0
ditingkatkan lagi,0,0,0,0
sudah bagus,0,1,0,1
tidak ada,0,1,0,1
Tidak ada,0,1,0,1
tingkatkan lagi dari segi informasi,1,0,0,1
Mohon lebih cepat tanggap terhadap keluhan-keluhan yang diberikan.,1,0,0,1
Bagus,0,1,0,1
lebih mengontrol pada layanan tune agar tidak sering trouble,1,0,0,1
Lebih di tingkatkan,0,0,0,0
aman,0,1,0,1
cukup,0,1,0,1
:),0,1,0,1
Bagus,0,1,0,1
tidak ada saran,0,1,0,1
perbaiki lagi,0,0,0,0
sudah bagus,0,1,0,1
sudah cukup baik,0,1,0,1
baik,0,1,0,1
baik,0,1,0,1
Sudah lebih bagus daripada sebelum nya,0,1,0,1
sangat bagus namun sedikit lebih lamban utk update,1,0,0,1
semua informasi harus merata,1,0,0,1
....,0,0,0,0
maksudnya i gracias? as long as servernya dak down siH OK,1,0,0,1
menjaga ke stabilan performance dalam mengakses igracias saat ujian online.,1,0,0,1
lebih ditingkatkan lagi sistem pelayanan sistem informasi,1,0,0,1
cukup baik tapi butuh perbaikan kembali,0,1,0,1
Baik,0,1,0,1
diperbaiki,0,0,0,0
sudah baik,0,1,0,1
nice,0,1,0,1
ok,0,1,0,1
"untuk layanan sisfo, igracias perlu dibenahi servernya",1,0,0,1
ditingkatkan,0,0,0,0
sudah baik,0,1,0,1
sudah bagus,0,1,0,1
sudah cukup baik,0,1,0,1
Lebih sigap lagi dlm memberi informasi dan merespon setiap pertanyaan,1,0,0,1
Lebih ditingkatkan lagi,0,0,0,0
semoga kedepannya tidak ada kendala dan menjadi lebih baik lagi,0,0,0,0
Bagus,0,1,0,1
kecepatan internet di tambah lagi,0,1,1,0
"the igracias has done a really good job, but i think for the important information that really impact students must be provided in other media, not just igracias",1,0,0,1
Sdh oke perlu ditingkatkan,0,1,0,1
Sudah baik,0,1,0,1
kadang saya tertinggal informasi karena sosialisasi informasi yang kurang merata,1,0,0,1
lebih ditingkatkan,0,0,0,0
sudah bagus,0,1,0,1
-,0,0,0,0
lebih cepat tanggap apabila ada sistem yang terhack,1,0,0,1
Semoga kedepannya layanan di univ telkom lebih baik lagi,0,0,0,0
ditingkatkan lagi,0,0,0,0
Ditingkan sistem layanannya.,1,0,0,1
"wifi masih susah kadang kadang, igracias kalaju mepet tanggal registrasi gabisa dibuka",1,0,1,0
cukup,0,1,0,1
pertahankan dan kedepan nya lebih baik lagi,0,1,0,1
Cukup Baik,0,1,0,1
"Sejauh ini saya tidak pernah mempunyai masalah terkait bidang layanan sistem informasi, saran saya mungkin setiap tahunnya kinerja server lebih diperhatikan lg karena setiap tahunnya jumlah mahasiswa yg masuk ke Universitas Telkom selalu bertambah, agar mahasiswa baru yg lain juga merasa tidak ada masalah terkait layanan sistem informasi.",1,0,0,1
-,0,0,0,0
agar lebih di tingkatkan lagi untuk kedepannya,0,0,0,0
do the best,0,1,0,1
"sudah bagus, tapi kadang2 tune masih suka mati",1,0,0,1
"pelayanan SDM sisfo harus ditingkatkan. info-info nya sangat membantu, tapi seringkali jawaban yang dibutuhkan melampaui waktu yang dibutuhkan",1,0,0,1
masih kurang cepat dibagian respon,1,0,0,1
Perluas lagi jaringannya,0,1,1,0
I think the service is good enough,0,1,0,1
sudah baik,0,1,0,1
Tidak ada,0,1,0,1
lebih update dan berkualitas,1,0,0,0
-,0,0,0,0
sistem informasi telah menjalankan tugasnya dengan baik,1,1,0,1
semuanya sudah bagus,0,1,0,1
Saran saya informasi penting jangan di beritahu lewat igracias saja tetapi bisa lewat email mahasiswa masing masing,1,0,0,1
layanan sistem informasi sudah bagus akan tetapi perlu ditingkatkan dan dimaksimalkan lagi,1,1,0,1
lebih ditingkatkan lagi terkait sarana internet kalo bisa ditambahkan akses point di setiap gedung perkuliahan ataupun di sekitaran area kampus telkom university,0,1,1,0
,0,0,0,0
semakin ditingkatkan,0,0,0,0
pastikan sistem informasi tidak terjadi keterlambatan dalam menginfokan sesuatu,1,0,0,1
trimakasih,0,1,0,1
harus lebih baik,0,0,0,0
Layanannya kurang memuaskan,0,0,0,0
sudah baik,0,1,0,1
"Karena banyak sekali bermunculan akun line beratas namakan telkom, mungkin bisa dibuat agar informasi yang benar-benar resmi dari telkom university tidak simpang siur dan valid.",1,0,0,1
Sudah bagus,0,1,0,1
Sangat kurang mungkin kurang dapat merangkul,0,0,0,0
tingkatkan,0,0,0,0
tingkatkan lagi agar menjadi lebih baik,0,0,0,0
,0,0,0,0
Agar lebih dipermudah saat mendapatkam informasi,1,0,0,1
lebih d tingkatkan,0,0,0,0
Sudaah baik,0,1,0,1
Lebih menyeluruh,0,0,0,0
"sistem absen masih ada yang belum baik, seperti temen Saya Dia PRS tapi dikelas yg baru ngga ada namanya dan kesalahan tersebut mengakibatkan Mahasiswa mengeluarkan sejumlah uang atas keterlambatannya mengurus itu karena bingung harus kemana. No Offense tapi semoga kedepannya lebih baik lagi dan ngga ada yang error",1,0,0,1
.,0,0,0,0
Akses ke jaringan internet masih kurang,0,1,1,0
Cukup,0,1,0,1
baik,0,1,0,1
Tingkatkan,0,0,0,0
lebih diperbaiki lagi,0,0,0,0
lebih baik lagi,0,0,0,0
semoga ke depannya lebih baik lagi,0,0,0,0
lebih ditingkatkan lagi sarana yg sudah ada,0,0,0,0
"Layanan Sistem Informasi sdah bgus, mahasiswa bisa mndpt info dgn mudah melalui igracias dan bag. sisfo",1,0,0,1
sudah baik,0,1,0,1
layanan sistem informasi sudah bagus dengan menyebarkan melewati igracias namun terkadang absesi masih sering telat input,1,0,0,1
q,0,0,0,0
bagus,0,1,0,1
tingkatkan terus kinerja baiknya,0,0,0,0
sudah bagus,0,1,0,1
SUDAH BAIK,0,1,0,1
ditingkatkan lagi,0,0,0,0
Sudah baik,0,1,0,1
Sistem suka terkadang eror mohon untuk selalu diperiksa untuk memudahkan mahasiswa,1,0,0,1
Sudah cukup menurut saya semua fasilitasnya,0,1,0,1
layanan wifi di seluruh lingkungan telkom sangat membantu kami dalam menyelesaikan tugas dan memperoloeh informasi. kedepannya semoda jaringan tidak sering mengalami gangguan lagi.,0,1,1,1
Bagus,0,1,0,1
agar memberikan internet yang stabil dan pemerataan lokasi,0,1,1,0
bagus,0,1,0,1
Sangat baik,0,1,0,1
-,0,0,0,0
Lebih ditingkatkan,0,0,0,0
terus tingkatkan menjadi lebih baik,0,0,0,0
allalalalalla,0,0,0,0
"Sudah baik, cuman untuk waktu akses di waktu-waktu krusial masih sering kali tidak menyanggupi banyaknya jumlah mahasiswa di Telkom University",1,0,0,1
Di tingkatkan lagi layanannya,0,0,0,0
.,0,0,0,0
,0,0,0,0
untuk bisa merespon lebih cepat,1,0,0,1
Jangan ada biaya 1% pun,1,0,0,1
sudah baik dan sangat interaktiv tetapi lebih di buat simple lagi dan mempebaiki masalah saat registrasi semester yang sering terjadi,1,0,0,1
Untuk layanan beasiswanya mungkin perlu ditingkatkan pemberitahuannya.,1,0,0,1
igracias bagusin lagi,1,0,0,1
Sudah bagus,0,1,0,1
Igracias agar tidak serverdown,1,0,0,1
"dalam bidang ini saran saya mungkin sering terjadi kesalahan informasi dalam kasus online(informasi di sosial media), dan untuk itu lebih diersiakan atau dierhatikan lagi.",1,0,0,1
Lebih ditingkatkan lagi,0,0,0,0
Sistem harus lebih ditingkatkan,0,0,0,0
dalam sarana informasi lebih baik dan sangat luas tentang universitas telkom yang saya dapat,1,1,0,1
kurangnya informasi membuat mahasiswa kurang aktif,1,0,0,1
bagus,0,1,0,1
sudah baik,0,1,0,1
"semoga lebih baik lagi kedepannya, internet di percepat, jgn limited atau gk ada jaringan",0,1,1,0
Igracias lebih diperbaiki soalnya sering down dan susah diakses apalagi saat musim registrasi.,1,0,0,1
Tidak ada,0,1,0,1
Dalam pelayanan sistem informasi sudah baik semoga jauh lebih baik lagi kedepannya,1,1,0,1
tidak ada,0,1,0,1
Sangat baik dan memuaskan,0,1,0,1
sudah puas,0,1,0,1
-,0,0,0,0
ok,0,1,0,1
semoga lebih baik lagi dari sebelumnya,0,0,0,0
semakin meningkatkan pelayanannya,0,0,0,0
sangat baik,0,1,0,1
,0,0,0,0
Sudah baik,0,1,0,1
Lanjutkan,0,1,0,1
semangat,0,1,0,1
sudah cukup baik dan ditingkatkan lagi,0,1,0,1
"Sudah bagus, di tingkatkan saja",0,1,0,1
sudah bagus,0,1,0,1
think.,0,0,0,0
lebih di pebagus,0,0,0,0
"Kalau bisa, menyediakan semacam media sosial formal untuk multichat khusus untuk lingkungan kampus karena, dengan menggunakan media sosial yang sudah ada/yang dikelola dari luar sistem informasi terasa tidak formal dan kurang profesional.",1,0,0,1
Tingkatkan lagi,0,0,0,0
lebih ditingkatkan,0,0,0,0
sangat baik,0,1,0,1
Tidak ada,0,1,0,1
Sudah baik,0,1,0,1
"sudah bagus, tapi lebih ditingkatkan lagi",0,1,0,1
sudah cukup baik,0,1,0,1
dalam bidang informasi agar lebih ditingkatkan lagi dengan sering mengupdate apa apa saja informasi yang ada di telkom sehingga memudahkan mahasiswa mendapatkan informasi,1,0,0,1
ditingkatan kali agar lebih baik,0,0,0,0
diharpkan informasi lebih mudah didapatkan oleh seluruh mahasiswa,1,0,0,1
puas,0,1,0,1
informasi diharapkan dapat lebih mudah untuk didapat,0,0,0,0
,0,0,0,0
-,0,0,0,0
di perbanyak informasi mengenai beasiswa,1,0,0,1
layanan sistem informasi sudah bagus tingkatkan lagi saja,1,0,0,1
baguss,0,1,0,1
sudah baik dan cukup ditingkatkan,0,1,0,1
-,0,0,0,0
lebih ditingkatkan lagi,0,0,0,0
Harap di perbaiki,0,0,0,0
lebih gerak cepat dan cekatan,0,0,0,0
sungguh puas,0,1,0,1
_,0,0,0,0
kurang adanya pengaduan tentang tatatertib dan kesehatan.,0,1,0,1
"menjadi lebih baik, dan cepat jika ada info2",1,0,0,1
Igracias sering eror,1,0,0,1
semoga semakin lebih baik dan maju,0,0,0,0
baik,0,1,0,1
pelayanan dalam bidang sisfo sebaiknya lebih ditingkatkan,1,0,0,1
